,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,"Duplex avec vue, centre ville",Isabelle,"Lyon, France",within a few hours,f,1.0,t,45.76314,Entire rental unit,5,3.0,130.0,1125,90,1125,1125.0,14,302,1,2024-06-30,4.71,4.86,f,1,0
1,Nice Flat in the center of Lyon,Clementine,"Lyon, France",within an hour,f,1.0,t,45.76842,Entire rental unit,4,1.0,100.0,15,2,15,15.0,53,83,2,2024-12-08,4.8,4.88,f,1,0
2,"Centre of old town,home sweet home",Polali,"Lyon, France",a few days or more,f,1.0,t,45.7593,Entire rental unit,2,1.0,185.0,30,2,30,30.0,57,87,2,2024-06-04,4.27,4.86,f,1,0
3,"Bel apartment, 2 rooms, Lyon center",Sandrine,"Lyon, France",,f,1.0,t,45.7688446044922,Entire condo,2,1.0,88.0,730,365,730,730.0,0,98,0,2019-12-28,4.89,4.95,f,1,0
4,Quartier Terreaux 4/6 pers. Hyper centre / Clim,Giuseppina,"Rhône-Alpes, France",within an hour,f,5.0,t,45.76695,Entire rental unit,6,3.0,194.0,90,2,1125,1125.0,49,169,32,2024-11-24,4.86,4.88,f,2,0
5,Clear &very central flat Vieux Lyon,Max,"Lyon, France",within an hour,f,1.0,t,45.75935,Entire rental unit,2,1.0,53.0,365,2,1125,1125.0,12,297,66,2024-12-02,4.54,4.89,t,1,0
6,very pleasant and located idealment,Anaïs,"Lyon, France",within a few hours,f,1.0,t,45.75207,Entire rental unit,6,3.0,210.0,30,2,30,30.0,52,357,3,2024-12-08,4.64,4.75,f,1,0
7,Studio apartment near opera city centre,Emmanuel,"Lyon, France",within a few hours,t,1.0,t,45.77047,Entire rental unit,2,0.0,40.0,90,14,90,90.0,11,259,6,2024-10-04,4.92,5.0,f,1,0
8,Le Duplex - Spacious triple room.,Romain,"Lyon, France",within a few hours,f,2.0,t,45.75775,Private room in rental unit,3,1.0,28.0,180,7,180,180.0,32,163,0,2023-12-01,4.53,4.52,f,0,0
9,Roomy and luminous apartment,NATHALIE Et ALAIN,"Lyon, France",within an hour,f,3.0,t,45.7467,Entire rental unit,6,2.0,77.0,12,2,12,12.0,1,13,3,2024-08-17,4.61,4.79,f,1,0
10,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",Amael Et Ida,"Lyon, France",within an hour,t,1.0,t,45.75383,Entire rental unit,8,3.0,194.0,1125,1,1125,81.0,27,286,38,2024-11-27,4.74,4.72,t,1,0
11,Studio situé au cœur historique de Lyon,Anne-Marie,"Lyon, France",within an hour,t,1.0,t,45.76983,Entire rental unit,2,1.0,83.0,10,3,10,10.0,0,9,19,2024-10-20,4.93,4.92,f,1,0
12,"Independent room on terrace with trees, B&B,Garage",Jean François,"Lyon, France",within a few hours,f,1.0,t,45.76487,Entire rental unit,2,1.0,50.0,15,2,15,15.0,0,60,0,2021-12-11,4.87,4.69,f,1,0
13,"in downtown LYON, your little PROVENCE",Lionel,"Lyon, France",within an hour,f,1.0,t,45.769253,Entire rental unit,3,2.0,,28,2,28,28.0,0,0,4,2024-07-30,4.58,4.9,f,1,0
14,Cosy 2-bedroom flat at the heart of Lyon,Amy,"Lyon, France",,f,1.0,t,45.76913,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
15,Charming rooftop house terrace and view Fourviere,Julie Et Michael,"Lyon, France",,f,1.0,t,45.76489,Entire loft,3,1.0,139.0,1125,4,1125,1125.0,28,116,0,2022-06-11,5.0,5.0,t,1,0
16,Belle chambre libre dans un T3,Fadel,"Lyon, France",,f,1.0,f,45.74275,Private room in rental unit,2,,,14,4,14,14.0,0,0,0,2015-01-16,5.0,4.33,f,0,0
17,"Mezzo, Nice and quiet two rooms flat",Sophie,"Lyon, France",within an hour,t,6.0,t,45.76903,Entire rental unit,2,1.0,70.0,1125,4,1125,1125.0,0,136,1,2023-12-22,4.3,4.8,f,5,0
18,ARTIST LOFT in the heart of Lyon,Delphine,France,within a day,f,1.0,t,45.77049,Entire loft,3,1.0,85.0,6,3,6,6.0,42,347,0,2019-11-17,4.67,4.81,f,1,0
19,"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",Lisa,"Valencia, Spain",within an hour,f,2.0,t,45.76648,Entire rental unit,4,2.0,147.0,1125,31,540,340.9,13,270,20,2024-11-30,4.76,4.79,f,1,0
20,A LOVELY BEDROOM IN VIEUX-LYON,Mila & Julien,"Lyon, France",within an hour,t,3.0,t,45.75629,Private room in rental unit,2,2.0,58.0,4,2,4,4.0,0,13,1,2023-12-16,4.73,4.92,f,2,0
